,listing_url,last_scraped,host_since,zipcode,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities_cat,amenities_count,minimum_nights,maximum_nights,instant_bookable,availability_365,price,latitude,longitude,years_in_business,revenue,revenue_per_accommodates
726,https://www.airbnb.com/rooms/13846894,2023-03-25,2016-06-28,98112.0,Entire home/apt,2,1.0,,1.0,basic,24,1,6,f,147,114.0,47.62053,-122.31479,7.0,24852.0,12426.0
727,https://www.airbnb.com/rooms/13865648,2023-03-25,2017-09-13,98112.0,Entire home/apt,8,3.0,3.0,4.0,moderate,62,2,30,t,131,403.0,47.62666,-122.31396,6.0,94302.0,11787.75
728,https://www.airbnb.com/rooms/13908739,2023-03-25,2012-09-23,98105.0,Entire home/apt,3,1.0,1.0,1.0,moderate,47,2,93,f,30,81.0,47.67152,-122.29313,10.0,27135.0,9045.0
729,https://www.airbnb.com/rooms/13913909,2023-03-25,2016-05-10,98125.0,Entire home/apt,4,1.0,1.0,2.0,moderate,42,2,1125,t,139,99.0,47.72533,-122.32682,7.0,22374.0,5593.5
730,https://www.airbnb.com/rooms/13925303,2023-03-25,2016-01-06,98105.0,Private room,1,1.5,1.0,1.0,moderate,47,1,1125,t,127,65.0,47.66486,-122.30583,7.0,15470.0,15470.0
731,https://www.airbnb.com/rooms/13940437,2023-03-25,2015-07-01,98122.0,Entire home/apt,3,1.0,2.0,3.0,moderate,50,5,1125,t,328,106.0,47.60986,-122.29439,8.0,3922.0,1307.3333333333333
732,https://www.airbnb.com/rooms/13941977,2023-03-25,2014-04-20,98103.0,Private room,1,2.0,1.0,1.0,basic,32,30,50,t,88,55.0,47.65419,-122.34163,9.0,15235.0,15235.0
733,https://www.airbnb.com/rooms/13981404,2023-03-25,2013-06-23,98112.0,Entire home/apt,2,1.0,1.0,1.0,basic,18,1,21,f,251,125.0,47.64001,-122.2771,10.0,14250.0,7125.0
734,https://www.airbnb.com/rooms/13994043,2023-03-25,2015-02-02,98122.0,Entire home/apt,2,1.0,1.0,1.0,basic,27,1,1125,t,0,159.0,47.61261,-122.30236,8.0,58035.0,29017.5
735,https://www.airbnb.com/rooms/14010358,2023-03-25,2016-07-14,98117.0,Entire home/apt,4,1.0,1.0,2.0,moderate,41,3,94,f,184,120.0,47.67571,-122.38389,7.0,21720.0,5430.0
736,https://www.airbnb.com/rooms/14010379,2023-03-25,2013-07-10,98121.0,Entire home/apt,4,1.0,2.0,2.0,moderate,40,4,1125,t,247,308.0,47.609661,-122.344788,10.0,36344.0,9086.0
